Requirement Text,Class,Sub-Type,Ambiguity
The app shall run on a smart phone with Android OS least version 2.3 .,NFR,Maintainability,Non-Ambiguous
"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.",NFR,Usability,Non-Ambiguous
The icons shall be according to the Android Icon Guidelines.,NFR,Usability,Non-Ambiguous
The user interfaces shall be according to the Android User Interface Guidelines.,NFR,Usability,Non-Ambiguous
"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",NFR,Usability,Non-Ambiguous
"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",NFR,Usability,Non-Ambiguous
The campus map shall cover the campus of the TU/e.,FR,Functional,Non-Ambiguous
The campus map shall cover the central train station of Eindhoven.,FR,Functional,Non-Ambiguous
A new stylistic map must have the right dimensions.,NFR,Usability,Ambiguous
A new stylistic map must be geographically correct.,NFR,Usability,Non-Ambiguous
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,FR,Functional,Non-Ambiguous
Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,FR,Functional,Non-Ambiguous
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,FR,Functional,Non-Ambiguous
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,FR,Functional,Non-Ambiguous
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,FR,Functional,Non-Ambiguous
"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",NFR,Performance,Non-Ambiguous
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR,Availability,Ambiguous
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR,Performance,Ambiguous
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR,Performance,Ambiguous
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR,Performance,Ambiguous
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR,Availability,Ambiguous
The application requires an internet connection to function.,NFR,Maintainability,Non-Ambiguous
The application requires a GPS connection for functionality.,NFR,Maintainability,Non-Ambiguous
