Requirement Text,Class,Sub-Type,Ambiguity,cleaned_text_stage1,cleaned_text_stage3,predicted_class_id,predicted_class,predicted_ambiguity_id,predicted_ambiguity,predicted_subtype,predicted_subtype_id,llm_rewrite_plain,llm_rewrite_ambiguity_only,llm_rewrite_metadata,llm_rewrite_metadata_rules
The campus map shall cover the campus of the TU/e.,FR,Functional,Non-Ambiguous,campus map cover campus tu e,the campus map shall cover the campus of the tu e,0,FR,0,Ambiguous,N/A,,"The campus map shall provide a visual representation of the entire TU/e campus, including all buildings and relevant features.","The campus map shall provide a comprehensive visual representation of the TU/e campus, including all relevant buildings and their locations.","The campus map shall provide a visual representation of the entire TU/e campus, including all buildings and relevant features.","The campus map shall provide a visual representation of the entire TU/e campus, including all buildings and their locations."
The campus map shall cover the central train station of Eindhoven.,FR,Functional,Non-Ambiguous,campus map cover central train station eindhoven,the campus map shall cover the central train station of eindhoven,0,FR,0,Ambiguous,N/A,,"The campus map shall include a detailed representation of the central train station in Eindhoven, accurately depicting its layout and key features.","The campus map shall include a detailed representation of the central train station in Eindhoven, accurately depicting its layout and surroundings.","The campus map shall include a detailed representation of the central train station in Eindhoven, accurately depicting its layout and key features.","The campus map shall include a detailed representation of the central train station in Eindhoven, accurately depicting its layout and facilities."
A new stylistic map must have the right dimensions.,NFR,Usability,Ambiguous,new stylistic map right dimension,a new stylistic map must have the right dimensions,1,NFR,0,Ambiguous,Usability,0.0,The new stylistic map must have a predefined set of dimensions that match the product's design specifications.,The new stylistic map must have a predefined set of dimensions that match the product's design specifications.,"The new stylistic map must have a fixed aspect ratio and be designed to fit within the standard display area of the application, ensuring optimal viewing and interaction for users.","The new stylistic map must have a fixed aspect ratio and be designed to fit within the available screen real estate, ensuring that users can easily navigate and interact with it without unnecessary scrolling or zooming."
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,FR,Functional,Non-Ambiguous,information certain person restricted available employee page tu e encyclopedia,information about a certain person will be restricted to what is available on the employee pages of the tu e encyclopedia,0,FR,0,Ambiguous,N/A,,The system shall restrict access to information about a specific person to the content available on their employee page in the TU/e Encyclopedia.,The system shall restrict access to information about a specific individual to the content available on their employee page in the TU/e Encyclopedia.,The system shall restrict access to information about a specific individual to the content displayed on their employee page within the TU/e Encyclopedia.,The system shall restrict access to information about a specific person to the content available on their employee page in the TU/e Encyclopedia.
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,FR,Functional,Non-Ambiguous,information search method encyclopedia restricted service provided mediawiki tu e encyclopedia,the information and the search methods of the encyclopedia app will be restricted to the services provided by the mediawiki of the tu e encyclopedia,0,FR,0,Ambiguous,N/A,,The Encyclopedia-app shall only provide access to information and search methods that are available through the MediaWiki services of the TU/e Encyclopedia.,The Encyclopedia-app shall only provide access to information and search methods that are supported by the MediaWiki services of the TU/e Encyclopedia.,The Encyclopedia-app shall only provide access to information and search methods that are supported by the MediaWiki services of the TU/e Encyclopedia.,The Encyclopedia-app shall only provide access to information and search methods that are available through the MediaWiki services of the TU/e Encyclopedia.
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,FR,Functional,Non-Ambiguous,information search method student handbook restricted depending file format handbook information,the information and the search methods of the student handbook app will be restricted depending on file format of the handbook information,0,FR,0,Ambiguous,N/A,,The Student Handbook-app will restrict access to information and search methods based on the file format of the handbook content.,The Student Handbook-app will restrict access to information and search methods based on the file format of the handbook content.,The Student Handbook-app shall restrict access to information and search methods based on the file format of the handbook content.,The Student Handbook-app will restrict access to information and search methods based on the file format of the handbook data.
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR,Availability,Ambiguous,dependability ensures informed issue trusted performance measured testing prioritized highly,system dependability ensures users are informed of any issues for trusted system performance measured during testing and prioritized highly,1,NFR,0,Ambiguous,Performance,2.0,"The system shall provide users with timely notifications of any issues affecting trusted performance, prioritized based on testing results.","The system shall provide users with timely and accurate notifications of any issues affecting trusted performance, as measured during testing and prioritized for high severity.","The system shall provide real-time notifications to users of any detected issues affecting trusted performance, with prioritization based on testing results.","The system shall provide real-time notifications to users of any detected issues affecting trusted performance, with a maximum latency of 30 seconds and an average response time of less than 10 seconds during testing."
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR,Performance,Ambiguous,ideally use less numtoken mb storage space hard limit numtoken mb,the application should ideally use less than numtoken mb of storage space with a hard limit of numtoken mb,1,NFR,0,Ambiguous,Performance,2.0,"The application must use less than 10 MB of storage space, with a maximum allowed size of 20 MB.","The application must use less than 10 MB of storage space, with a maximum allowed size of 20 MB.","The application must use less than 10 MB of storage space, with a maximum allowed size of 20 MB.","The application must use no more than 10 MB of storage space, with a maximum allowed size of 20 MB."
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR,Performance,Ambiguous,application memory usage mobile operating ideally numtoken mb strict limit numtoken mb operation,the applications memory usage on the mobile operating system should ideally be below numtoken mb with a strict limit of numtoken mb during operation,1,NFR,0,Ambiguous,Performance,2.0,"The mobile application's memory usage on the operating system should not exceed 10 MB, with a maximum allowed value of 20 MB during normal operation.","The mobile application's memory usage on the operating system should not exceed 10 MB, with a maximum allowed value of 20 MB during normal operation.","The mobile application's memory usage on the operating system should not exceed 10 MB in ideal conditions, and must not exceed 20 MB at any time during operation.","The mobile operating system must ensure that the application's memory usage remains below 10 MB at all times, with a maximum allowed value of 20 MB during normal operation."
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR,Performance,Ambiguous,reliably deliver accurate search result numtoken case aiming numtoken even perfect accuracy operation,the system should reliably deliver accurate search results in over numtoken of cases aiming for numtoken or even perfect accuracy during operation,1,NFR,0,Ambiguous,Performance,2.0,"The system shall deliver accurate search results with a reliability of at least 98% in normal operation, aiming for an accuracy rate of 99%.","The system shall return accurate search results in at least 98% of queries, striving for a minimum accuracy rate of 99%.",The system shall deliver accurate search results with a minimum reliability of 98% and strive for an accuracy rate of at least 99%.,"The system shall achieve a search result accuracy of at least 98% in over 99.9% of queries, with an average response time not exceeding 500 milliseconds and throughput capacity to handle up to 1000 concurrent searches per second."
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR,Availability,Ambiguous,accessible numtoken time ideally aiming numtoken even continuous uptime,the system should be accessible to users more than numtoken of the time ideally aiming for numtoken or even continuous uptime,1,NFR,0,Ambiguous,Availability,4.0,"The system shall be available for user interaction at least 98.02% of the time, with a goal to achieve continuous uptime.","The system shall be available for user interaction at least 98.02% of the time, with a goal to achieve continuous uptime.","The system shall be available to users for at least 98.02% of the time, with a goal of achieving continuous uptime.","The system shall maintain a minimum of 99.5% uptime, with no more than two hours of cumulative downtime per month, and ensure seamless failover to backup systems in the event of primary system failure."
